"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SCAANT1",5.80768252258984,-5.84377562456359e-07,0.486627802799123,-0.27440203140936,0.783775682066166,0.969185512413403,"Stable"
"MYL12BP1",5.58478336270027,2.49067864365648e-07,0.308658144519765,0.072793388630115,0.941970532109484,0.992388534578676,"Stable"
"GLIPR1L1",5.61125972436428,-2.42803533162007e-06,0.542025248445861,-1.22936281451754,0.218935805743036,0.771594263536484,"Stable"
"KRT18P59",7.27837534412613,-5.18911522101441e-07,0.538240358769351,-0.266500004325969,0.789854156073063,0.970790308497108,"Stable"
"AC242426.2",4.39025992422875,1.9552798440364e-06,0.582199726588437,1.12324807443813,0.261332150186129,0.807951969512533,"Stable"
"CHRNA7",2.90623129624975,-5.88108643341794e-06,0.766571353379922,-0.353610978512892,0.723630445638864,NA,"Stable"
"CAPN14",3.31833756916109,4.72383755560137e-10,0.651294520986707,-0.00123870460037635,0.999011656976715,NA,"Stable"
"AL450384.1",4.36816360169838,2.91930818368927e-06,0.527088628734979,1.58248119722444,0.11353976140771,0.650774966777987,"Stable"
"AC079140.2",6.68826649768074,-1.61538997515906e-06,0.56787678564061,-0.889132433766418,0.373931909765657,0.862006080320528,"Stable"
"ERVE-1",0.595767281660633,-5.72697458075178e-07,2.2973482022101,-1.31274014065578,0.189270526647531,NA,"Stable"
"PNOC",2.19172740788495,-2.22916675325126,0.730897475757476,-0.800551670834396,0.423391238943313,NA,"Stable"
"RPL4P6",6.2960867903724,2.07367399826231e-06,0.45928853031598,0.94892426174664,0.342659133998311,0.854814321652297,"Stable"
"TPMTP1",4.1825997902576,2.54427257011436e-07,0.582232732361171,0.140525206949147,0.888245037823852,0.985758093692779,"Stable"
"LINC00501",4.68304490195811,1.86676595449872e-06,1.00536940995427,1.75140047063053,0.0798769519927167,0.581982601485889,"Stable"
"AC012213.3",5.38726619054353,-7.15523617000975e-07,0.434304706958384,-0.30300414592056,0.761886702051666,0.964790585321554,"Stable"
"AL359075.1",7.42504328528455,1.5148830540294e-06,0.791992129961685,1.28443273915426,0.198990583790022,0.75971074926988,"Stable"
"HM13-IT1",5.15962305764858,2.49822808085343e-06,0.416586504128973,0.993338187948653,0.320545173358524,0.844273767619889,"Stable"
"AC015909.5",5.25175153452136,1.94671927139688e-06,0.437770757280805,0.82533236525107,0.409182921809125,0.877491501554025,"Stable"
"LINC02544",4.30897605954594,-4.22022166369888e-07,1.00976462512916,-0.402294868230106,0.687467030920577,0.951442647848362,"Stable"
"AL139407.1",4.90861663981052,5.72088224141608e-06,0.453003072787496,0.499743356281841,0.617255799754044,0.937844790326334,"Stable"
"AC017083.1",5.11150219285829,3.18507708925031e-06,0.463364915936049,1.43181808802141,0.152195889279373,0.711690600417601,"Stable"
"AL604028.2",5.56217063194777,1.94112306438716e-06,0.509366556203489,0.965265050887411,0.334412072080244,0.849867405281095,"Stable"
"Z82217.1",6.3822241590727,2.52463319394127,0.527413633480387,2.69434717354973,0.00705266612202717,0.226372652009982,"Stable"
"RPL5P30",6.24668036473333,-7.56141015044401e-08,0.511377543922108,-0.0388261158422944,0.96902902309792,0.997301318336129,"Stable"
"RPL21P89",6.65551480266082,-7.41224249726934e-08,0.479548722816156,-0.0364624375068361,0.970913629307114,0.997912615128768,"Stable"
"PLUT",3.06949967694133,-1.94664950992231e-07,1.26594474804476,-0.232387417126161,0.816237121126779,NA,"Stable"
"AC005014.2",5.39220736552368,-3.4083864673712e-06,0.415050691444113,-1.34960291457043,0.177143388782217,0.743035280529155,"Stable"
"PCNPP1",5.53337690708856,-9.52622164372386e-08,0.394715182831963,-0.0377043288776084,0.969923424507483,0.997309597901092,"Stable"
"AL360270.3",6.97638341239934,1.20330024543869e-06,0.576317465316134,0.691248820506174,0.48940918841046,0.900304518370947,"Stable"
"SCGB1A1",3.69063499323907,6.33239062107875e-07,2.01301315114027,2.41942300135711,0.0155451514286967,0.307231778618888,"Stable"
"EIF4A1P2",5.7452757237061,-1.42684323533062e-06,0.446154010942136,0.375565810878817,0.70723971200134,0.954639465744499,"Stable"
"AL358072.1",5.47251539232518,-4.07581062967881e-07,0.464099268090905,-0.18393087870865,0.854067680342675,0.980466243874552,"Stable"
"AC068669.1",5.69146231787603,3.00148445748406e-07,0.614074028081587,0.176511666363662,0.859891984144808,0.981476157166176,"Stable"
"AL139424.3",8.52113947287282,-1.28706508902075e-07,0.470357370606879,-0.0616333553982468,0.950854813660101,0.994073498662455,"Stable"
"RANP1",4.9589538309022,-1.09131399504818e-06,0.444358518718777,-0.457910921334159,0.647016440232754,0.945782560507616,"Stable"
"AC006144.2",2.98127461805089,-1.56956307145055e-06,0.698926013797347,-0.0584809703518629,0.9533655200086,NA,"Stable"
"HSPD1P6",5.28302875122641,7.44439645407559e-07,0.461204028787816,0.327303605708585,0.74343826554131,0.961292284155289,"Stable"
"ANKRD20A5P",5.00674216662975,-1.75948816761489e-07,0.761950012899166,-0.129757552650179,0.896758246985713,0.985854768711449,"Stable"
"MAS1",4.39905379494027,-1.27794754860845e-06,0.726967080013361,-0.865463114450423,0.386784652664676,0.86624004495666,"Stable"
"AC093928.1",4.78707741891838,3.43525837312347e-08,0.88022195854508,0.0261304508077401,0.979153289117973,0.998440579039769,"Stable"
"CTAGE9",6.54894339461861,-1.76061305008394e-06,0.616766557891778,-1.01868933716199,0.308350476328115,0.837172977637507,"Stable"
"AC013403.2",4.74127026161907,-3.26263184504002e-06,0.362307867564558,-1.12618300244588,0.260088066647429,0.806930557235743,"Stable"
"LANCL3",3.69405500509486,-3.84517900610156e-06,0.551166610609743,-1.95477387699225,0.0506097658052608,0.499079686657504,"Stable"
"AC102953.1",5.58402717133241,4.66897117579921e-06,0.516655762047325,2.49377790133006,0.0126391601877697,0.284020408560758,"Stable"
"AC073063.1",5.45495408127364,4.73652365508506e-07,0.342148599614842,0.156804473919672,0.875398946795085,0.983805416896717,"Stable"
"RNY3P16",7.23906226098951,5.42933229615785e-08,0.665358151526493,0.0331185713537484,0.973580033074329,0.998110077808836,"Stable"
"AC067930.2",5.21737861115081,2.00023953429289e-06,0.517253160813493,1.02873219401553,0.303605537196143,0.836148030148288,"Stable"
"AC141557.2",3.65778365903396,1.70484445423507e-06,0.707064255699386,1.20167721605355,0.229488611878174,0.782827408508273,"Stable"
